sampling,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
None,0.9319610505943767,0.9324518618059221,0.9915003123183369,0.9908808741025631,0.8863067572398999,0.8869891576313594
SMOTE,0.9372557832047067,0.9355357016733163,0.9915551109874381,0.990913938723469,0.8956024311762603,0.8924103419516264
ADASYN,0.9373572363797604,0.9348252395078188,0.9915562494711231,0.9909060879768025,0.8957811941365749,0.8911592994161801
RandomUnderSampler,0.9123532917536932,0.9084748378734956,0.9906974398030877,0.9901748725030421,0.8525205577404362,0.8457047539616348
