model,sampling,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
Dummy Most Frequent,SMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,ADASYN,0.9866459599508197,0.9868860405844105,0.9822474913353657,0.9825657139527089,0.991083998122947,0.9912445278298937
Dummy Most Frequent,BorderlineSMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,RandomUnderSampler,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTEENN,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTETomek,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Stratified,SMOTE,0.656751234858785,0.6548627676006794,0.980274702684372,0.9825594740704905,0.4971062099170968,0.49530956848030017
Dummy Stratified,ADASYN,0.6590254860067186,0.6638356477536673,0.9834108809291836,0.98765747148932,0.5003910527139058,0.5065666041275798
Dummy Stratified,BorderlineSMOTE,0.6668358597040956,0.6542699597785255,0.9838519864447851,0.980063140437475,0.5093070545909588,0.49405878674171355
Dummy Stratified,RandomUnderSampler,0.6612755377964091,0.6786332587620133,0.9813018832784601,0.9794901398825047,0.5024245268262162,0.5215759849906191
Dummy Stratified,SMOTEENN,0.656529157406287,0.6667940726662388,0.9839895212188998,0.9840090618632377,0.49773189425934616,0.5090681676047529
Dummy Stratified,SMOTETomek,0.6611810382254061,0.654600287167073,0.9837571004972957,0.9838026690669712,0.5028937900829031,0.49530956848030017
Dummy Uniform,SMOTE,0.6595064185022743,0.6553859930032817,0.9831103661519938,0.9800915064599843,0.5008603159705929,0.49530956848030017
Dummy Uniform,ADASYN,0.6576993545329508,0.667343027674198,0.9830771070484841,0.9840181842804923,0.4988268418582825,0.5096935584740463
Dummy Uniform,BorderlineSMOTE,0.6532301308167071,0.6703265492672807,0.982994093963281,0.982861359916058,0.4938213671202878,0.5128205128205129
Dummy Uniform,RandomUnderSampler,0.6521900960456433,0.6472398124010671,0.983917654728494,0.9786278742973278,0.4928828406069138,0.48592870544090055
Dummy Uniform,SMOTEENN,0.6652730402445076,0.64782874916011,0.9847439227062278,0.9811551557823812,0.5077428437353355,0.48717948717948717
Dummy Uniform,SMOTETomek,0.6609879268904184,0.6616206492163859,0.9806837651022458,0.9876382820880952,0.5019552635695291,0.5040650406504065
