,PART_FACT_SERIAL_Original,PART_FACT_SERIAL_Winsorized,Injection_Time_Original,Injection_Time_Winsorized,Switch_Over_Position_Original,Switch_Over_Position_Winsorized,Max_Screw_RPM_Original,Max_Screw_RPM_Winsorized,Average_Screw_RPM_Original,Average_Screw_RPM_Winsorized,Max_Injection_Pressure_Original,Max_Injection_Pressure_Winsorized,Mold_Temperature_3_Original,Mold_Temperature_3_Winsorized
count,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0,7992.0
mean,11.251126126126126,11.181306306306306,8.241201244704836,8.22876630349083,0.32798298176105795,0.0,30.702940476191294,30.702464998902023,149.08427188632726,149.08299547201162,142.17955526097998,142.04992531441354,22.151589093862235,22.112550003750545
std,5.00430286465202,4.837133292154259,3.1051952872958046,3.0955569921605846,14.657756897067978,0.0,0.1486351525247364,0.1325985846160639,130.83322844317783,130.82809641520439,1.8368042455626254,0.2983580442705453,1.1233285705506872,0.9613329175912922
min,3.0,6.0,1.0499999523162842,1.059999942779541,0.0,0.0,30.299999237060547,30.5,29.0,29.200000762939453,140.6999969482422,141.6999969482422,19.100000381469727,20.399999618530277
25%,9.0,9.0,9.520000457763672,9.520000457763672,0.0,0.0,30.600000381469727,30.600000381469727,29.200000762939453,29.200000762939453,141.8000030517578,141.8000030517578,21.399999618530277,21.399999618530277
50%,10.0,10.0,9.5600004196167,9.5600004196167,0.0,0.0,30.700000762939453,30.700000762939453,29.200000762939453,29.200000762939453,142.0,142.0,22.0,22.0
75%,13.0,13.0,9.59000015258789,9.59000015258789,0.0,0.0,30.799999237060547,30.799999237060547,292.3999938964844,292.3999938964844,142.1999969482422,142.1999969482422,22.899999618530277,22.899999618530277
max,24.0,22.0,13.390000343322754,9.619999885559082,655.3099975585938,0.0,31.200000762939453,30.899999618530277,293.8999938964844,292.5,169.10000610351562,142.6999969482422,25.299999237060547,23.799999237060547
