model,sampling,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
Dummy Most Frequent,SMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,ADASYN,0.9866459599508197,0.9868860405844105,0.9822474913353657,0.9825657139527089,0.991083998122947,0.9912445278298937
Dummy Most Frequent,BorderlineSMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,RandomUnderSampler,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTEENN,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTETomek,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Stratified,SMOTE,0.666947410200776,0.6492780233199561,0.9826382958569398,0.9849783361070502,0.5091506335053966,0.4896810506566604
Dummy Stratified,ADASYN,0.6647361727547053,0.6444343197792176,0.9819865002602352,0.9810760796904264,0.5064914750508368,0.4834271419637273
Dummy Stratified,BorderlineSMOTE,0.6833041576850623,0.6520630114146031,0.9838261233806673,0.9825033456890707,0.5282340059440013,0.49218261413383363
Dummy Stratified,RandomUnderSampler,0.662321996814353,0.6532162739991588,0.9856269205393345,0.9850358251086915,0.5046144220240888,0.49405878674171355
Dummy Stratified,SMOTEENN,0.6509176259200504,0.6458395725681908,0.9832656410299563,0.9798457957918179,0.4913186297512905,0.48467792370231394
Dummy Stratified,SMOTETomek,0.6549927282117491,0.6656947895788419,0.9839641776232392,0.9839907511551148,0.4960112623181605,0.5078173858661663
Dummy Uniform,SMOTE,0.6477423941599705,0.6618763042976342,0.9828906603467855,0.9863978855683425,0.4877209447833568,0.5040650406504065
Dummy Uniform,ADASYN,0.6488582228844034,0.6567970461609628,0.9816493855939016,0.9813602732489071,0.4886594712967308,0.4971857410881801
Dummy Uniform,BorderlineSMOTE,0.6533452942512247,0.6758869362460252,0.9811230404818524,0.9877598990678288,0.49350852494916314,0.5203252032520326
Dummy Uniform,RandomUnderSampler,0.6535594108082033,0.6483668800674854,0.9814392357991436,0.9786602334373035,0.4938213671202878,0.48717948717948717
Dummy Uniform,SMOTEENN,0.6627029421251164,0.6514716573370581,0.9837827890434216,0.9799916021540594,0.5046144220240888,0.490931832395247
Dummy Uniform,SMOTETomek,0.6614359551014196,0.6570941169536991,0.9825311228376256,0.9826038775047937,0.5028937900829031,0.4978111319574734
Dummy Most Frequent,SMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,ADASYN,0.9866459599508197,0.9868860405844105,0.9822474913353657,0.9825657139527089,0.991083998122947,0.9912445278298937
Dummy Most Frequent,BorderlineSMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,RandomUnderSampler,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTEENN,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTETomek,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Stratified,SMOTE,0.6607329570084837,0.6509398053352843,0.9819029763695952,0.9824806974100123,0.5019552635695291,0.490931832395247
Dummy Stratified,ADASYN,0.6524309026474819,0.6625494111715413,0.9807903611718691,0.977849713783886,0.4924135773502268,0.5028142589118199
Dummy Stratified,BorderlineSMOTE,0.6646855755341435,0.6430056394615263,0.9828994818877342,0.9797714921367785,0.5066478961363992,0.4815509693558474
Dummy Stratified,RandomUnderSampler,0.6509176259200504,0.6528562058603701,0.9832656410299563,0.9787880483106114,0.4913186297512905,0.49218261413383363
Dummy Stratified,SMOTEENN,0.6450633004572391,0.6347356057741479,0.9841175871248666,0.9860753209458215,0.4850617863287971,0.4740462789243277
Dummy Stratified,SMOTETomek,0.6582803601387635,0.6427306309859054,0.9803122580484231,0.9810360859790334,0.4988268418582825,0.4815509693558474
Dummy Uniform,SMOTE,0.6697196012102394,0.6722053480278388,0.9811875855718349,0.9817003315585279,0.5119662130455185,0.5146966854283928
Dummy Uniform,ADASYN,0.6507990426055719,0.6829941456465847,0.9851599212701048,0.981929636445141,0.49163147192241513,0.5272045028142589
Dummy Uniform,BorderlineSMOTE,0.6670846084187996,0.652623905341367,0.9826409420985447,0.9825146274124108,0.5093070545909589,0.49280800500312694
Dummy Uniform,RandomUnderSampler,0.6536420060678932,0.6683339188053011,0.9823766066482816,0.9792159191422785,0.4941342092914125,0.5096935584740463
Dummy Uniform,SMOTEENN,0.6553941729991728,0.6413465816562028,0.9827228902077374,0.9874570562612507,0.4961676834037228,0.4815509693558474
Dummy Uniform,SMOTETomek,0.6632088821198221,0.6692875481386394,0.9813448584323277,0.9852637823047818,0.5046144220240889,0.5121951219512196
