model,sampling,f1_train,f1_test,precision_train,precision_test,recall_train,recall_test
Dummy Most Frequent,SMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,ADASYN,0.9866459599508197,0.9868860405844105,0.9822474913353657,0.9825657139527089,0.991083998122947,0.9912445278298937
Dummy Most Frequent,BorderlineSMOTE,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,RandomUnderSampler,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTEENN,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Most Frequent,SMOTETomek,0.0001575851494548907,0.00015198587772038242,7.94950894716131e-05,7.665829292150621e-05,0.008916001877053027,0.008755472170106316
Dummy Stratified,SMOTE,0.6634333126253025,0.6528882687639357,0.9822646483574147,0.9812715440774429,0.505083685280776,0.49280800500312694
Dummy Stratified,ADASYN,0.6583304167982428,0.6579481789289077,0.9833985639331186,0.9838600630271985,0.4996089472860942,0.49906191369606
Dummy Stratified,BorderlineSMOTE,0.6557386601324546,0.6344440811146651,0.9824185200376617,0.9847557021745581,0.4964805255748475,0.4734208880550344
Dummy Stratified,RandomUnderSampler,0.6625305011100904,0.649842055667687,0.9819406007462576,0.9849866102211319,0.5039887376818395,0.4903064415259537
Dummy Stratified,SMOTEENN,0.6364157901599011,0.6760017103298624,0.9829970204228027,0.9817818217546332,0.47536367902393245,0.519074421513446
Dummy Stratified,SMOTETomek,0.6557568517680424,0.6769081360842836,0.9836646204780483,0.9853683088612037,0.49679336774597216,0.5209505941213259
Dummy Uniform,SMOTE,0.6637327085503305,0.6557181262931187,0.9834936470261285,0.9838218948519066,0.5057093696230253,0.4965603502188868
Dummy Uniform,ADASYN,0.6650113643197538,0.6478535718835133,0.9819922063974467,0.9836852836870631,0.5068043172219615,0.4878048780487805
Dummy Uniform,BorderlineSMOTE,0.656640445398154,0.6358723275304128,0.9821263755755862,0.98087298853233,0.4974190520882215,0.4740462789243277
Dummy Uniform,RandomUnderSampler,0.6593469008374564,0.6598727963973928,0.981873830089646,0.9826587688006101,0.5003910527139058,0.5009380863039399
Dummy Uniform,SMOTEENN,0.6546299935930977,0.6695342842030464,0.9830202123855994,0.9840544563024196,0.49538557797591115,0.5121951219512195
Dummy Uniform,SMOTETomek,0.6676950660861891,0.6739546749846589,0.9823500191428606,0.986533636524735,0.5099327389332081,0.5178236397748592
